"ID","Organisation","Project","Group1","Group2","Group3","Task","Description","Status","Who","Priority","Urgency","Importance","Effort","DateAssigned","DateStarted","DateCompleted","DateDue"
"1","Other","WSL","","","","Email Glenn Slender","Use WSL for BYOD",NA,"","Recreation","Low","Low","","","","",""
"2","Other","WSL","","","","TXM build process","Can WSL be used as a replacement for the GIT tools in Windows for building TXM",NA,"","Recreation","Low","Low","","","","",""
"3","Other","WSL","","","","Install on Work Laptop","Can Sergei help?",NA,"","Recreation","Low","Low","","","","",""
"4","Other","WSL","","","","Linked-In post","Write the post",NA,"","Recreation","Low","Low","","","","",""
"5","Other","WSL","","","","Linked-In post","Play nice picture - Penguin surfer",NA,"","Recreation","Low","Low","","","","",""
"6","Home","TimeBox","UI","","","Tabular task update","Capture and update using a spreadsheet like table would be more efficient",NA,"","Plan/Schedule","Low","High","","","","",""
"7","Home","Reading","","","","Books to buy","The One Thing - Garry Keller",NA,"","",NA,NA,"","","","",""
"8","Home","Reading","","","","Books to read","Play it away - clearly S boosting!!",NA,"","",NA,NA,"","","","",""
"9","Home","TimeBox","Source","Email","","Email concept","What are useful ways to process and summarise emails - Deluge would make a great name for managing your inbox",NA,"","",NA,NA,"","","","",""
"10","Home","TimeBox","UI","","R functions","Summarise tasks","Do I really need this function or is it just a vanity metric?",NA,"","",NA,NA,"","","","",""
"11","Home","TimeBox","Basic functions","","R functions","Repeating tasks","How do I represent these in the model?  How do I tick them off when complete?  How do I show history / overdue tasks?",NA,"","",NA,NA,"","","","",""
"12","Home","TimeBox","Basic functions","","R functions","Overdue tasks","How do I highlight overdue & at-risk tasks?  traffic lights?  ",NA,"","",NA,NA,"","","","",""
"13","Home","TimeBox","Basic functions","","R functions","Dependencies","How do I create dependencies between tasks?  Can I show a critical path?",NA,"","",NA,NA,"","","","",""
"14","Home","TimeBox","Basic functions","","R functions","Status = Waiting","Add to the validation",NA,"","",NA,NA,"","","","",""
"15","Home","TimeBox","Data structures","","","Subtasks","Descriptions are actually the subtasks.  You can have multiple rows with different descriptions",NA,"","",NA,NA,"","","","",""
"16","Home","For fun","","","","Fix the Piano","Lookup the Thornleigh music centre","Backlog","Allan","",NA,NA,"","","","",""
"17","DN","Tier 1 PCE","EaFAT","","","Build an EaFAT","Needs to be reviewed by Alex","Completed","Allan","To do","High","High","2","","","",""
"18","DN","Tier 1 PCE","EaFAT","Impact assessment","","WBS","Build a breakdown from the Tier 1 summary document","Completed","Allan","To do","High","High","1","","","",""
"19","DN","Resiliency","Infrastructure","","","AsAService offering","Contact Greg Jones - what is the future for as-a-service offerings (particularly JBOSS)","Backlog","Allan","",NA,NA,"","","","",""
"20","DN","DM migration tool","","","","Extract Marketing Assets","Get a copy of the marketing assets and send these to the engineering team","InProgress","Mohammed","",NA,NA,"","","","",""
"21","DN","Standards Australia","AS 2805 extension","","","Documentation review","Are there any impacts or considerations for DN?  What are the sections of the standard that impact device handling?","InProgress","Allan","",NA,NA,"","","","",""
"22","DN","Retracts","$0 retracts","","","Report statistics","How many $0 retracts have counter information available - is it worth doing something?","Next","Tom","To do","High","High","","","","",""
"23","DN","Retracts","$0 retracts","","","Improved reporting","Work with Emiliano and Tom on a clean solution (if required)","Backlog","Tom","Plan/Schedule","Low","High","","","","",""
"24","DN","ThetaRay","Sales call","","","Email Mike Allen","Vynamic Fraud Detection detects fraud in unlabelled data","Completed","Allan","",NA,NA,"","","","",""
"25","DN","M&S","iSupport2Jira integration","","","�","Followup Mohamed","Waiting","","Plan/Schedule","Low","High","","","","",""
"26","DN","M&S","iSupport report","","","�","","Waiting","","Plan/Schedule","Low","High","","","","",""
"27","DN","Team management","Support tickets","","","Summary list","What tickets are outstanding at the moment?","InProgress","","",NA,NA,"","","","",""
"28","DN","Team management","Support tickets","","","Ticket review","Compile a list and update for Thursday.","Weekly","","",NA,NA,"","","","",""
"29","DN","Audit","ATM connectivity","","","<iSupport/Jira #'s>","Do we need the iSupport ticket","InProgress","","",NA,NA,"","","","",""
"30","DN","Tier 1 PCE","GCCC","","","Sizing","What are the typical number of events seen in AppManager on a daily basis","Next","Tom","To do","High","High","","","","",""
"31","DN","Audit","SAML based authentication","","","Consultation","FU Davis - is this required?  ","Next","Allan","Plan/Schedule","Low","High","","","","",""
"32","DN","Audit","SAML based authentication","","","Consultation","Can we setup an example?","Backlog","Tom","Plan/Schedule","Low","High","","","","",""
"33","DN","Resiliency","Build process","","","Consultation","How do we move this along?  What will this look like?","Next","Allan","To do","High","High","","","","",""
"34","DN","TimeBox","Work configuration","","","Daily ToDo list","Print a daily ToDo list","Next","Allan","To do","High","High","","","","",""
"35","DN","TimeBox","Work configuration","","","Jira/iSupport","Use Group2 for iSupport and Group3 for Jira references","Idea","Allan","To do","High","High","","","","",""
"36","DN","TimeBox","Work configuration","","","ppmc","Use the PPMC Task in Project","Idea","Allan","To do","High","High","","","","",""
"37","DN","Restructuring","","","","Whats new","Questions for Rupert","Next","Allan","Plan/Schedule","Low","High","","","","",""
"38","DN","Onboarding","","","","Account setup at CBA","Get a list of systems I need access to to Libby","Next","Allan","Plan/Schedule","Low","High","","","","",""
"39","DN","Onboarding","","","","Zoom","Get a Zoom account","Next","Allan","Plan/Schedule","Low","High","","","","",""
"40","DN","Onboarding","","","","Laptop microphone","Sort out with Sergei/Tom why my laptop microphone does not work.","Next","Allan","Plan/Schedule","Low","High","","","","",""
"41","DN","Training","","","","TXM server","Sort out why my TXM server does not work","Backlog","Allan","Recreation","Low","Low","","","","",""
"42","Home","Bills","","","","AMP","Is this up to date","Completed","Allan","To do","High","High","","","","",""
"43","Home","Bills","","","","AMP","All done tonight","Completed","Allan","To do","High","High","","","","",""
